id	nr_urz	miasto	woj	powiat	gmina	rodzaj_urzedu	urzad	kod	adres	nazwa_bel_1	nazwa_bel_2	odes³anie_do_starostwa	skrot	nazwa_1	nazwa_2	nazwa_ca³a	konto_oplat_geodezyjnych	jaka nazwa
2399	1560	Tar³ów	œwiêtokrzyskie	opatowski	Tar³ów	10	Urz¹d Gminy	27-515	ul. Rynek 2	Urz¹d Gminy	w Tar³owie	1563	UMTar³owie	Urz¹d Gminy w Tar³owie		Urz¹d Gminy w Tar³owie		
702	1561	Iwaniska	œwiêtokrzyskie	opatowski	Iwaniska	10	Urz¹d Gminy	27-570	ul. Rynek 3	Urz¹d Gminy	Iwaniska	1563	UMIwaniska	Urz¹d Gminy Iwaniska		Urz¹d Gminy Iwaniska		
2034	1562	Sadowie	œwiêtokrzyskie	opatowski	Sadowie	10	Urz¹d Gminy	27-580	Sadowie 86	Urz¹d Gminy	Sadowie	1563	UMSadowie	Urz¹d Gminy Sadowie		Urz¹d Gminy Sadowie		
1591	1563	Opatów	œwiêtokrzyskie	opatowski	Opatów	4	Starostwo Powiatowe	27-500	ul. Sienkiewicza 17			0	SPOpatowie	Starostwo Powiatowe w Opatowie		Starostwo Powiatowe w Opatowie	a22849300040120000050180002	
1662	1564	O¿arów	œwiêtokrzyskie	opatowski	O¿arów	9	Urz¹d Miasta i Gminy	27-530	ul. Stodolna 1	Urz¹d Miasta i Gminy	w O¿arowie	1563	UMO¿arowie	Urz¹d Miasta i Gminy w O¿arowie		Urz¹d Miasta i Gminy w O¿arowie		
1149	1565	Lipnik	œwiêtokrzyskie	opatowski	Lipnik	10	Urz¹d Gminy	27-540	Lipnik 20	Urz¹d Gminy	Lipnik	1563	UMLipnik	Urz¹d Gminy Lipnik		Urz¹d Gminy Lipnik		
2643	1566	Wojciechowice	œwiêtokrzyskie	opatowski	Wojciechowice	10	Urz¹d Gminy	27-532	Wojciechowice 50	Urz¹d Gminy	w Wojciechowicach	1563	UMWojciechowicach	Urz¹d Gminy w Wojciechowicach		Urz¹d Gminy w Wojciechowicach		
1595	1567	Opoczno	³ódzkie	opoczyñski	Opoczno	4	Starostwo Powiatowe	26-300	ul. Rolna 6			0	SPOpocznie	Starostwo Powiatowe w Opocznie		Starostwo Powiatowe w Opocznie	a51897300030020037629100019	
1790	1568	Poœwiêtne	³ódzkie	opoczyñski	Poœwiêtne	10	Urz¹d Gminy	26-315	ul. Akacjowa 4	Urz¹d Gminy	Poœwiêtne	1567	UMPoœwiêtne	Urz¹d Gminy Poœwiêtne		Urz¹d Gminy Poœwiêtne		
1680	1569	Parady¿	³ódzkie	opoczyñski	Parady¿	10	Urz¹d Gminy	26-333	ul. Konecka 4	Urz¹d Gminy	w Parady¿u	1567	UMParady¿u	Urz¹d Gminy w Parady¿u		Urz¹d Gminy w Parady¿u		
2795	1570	¯arnów	³ódzkie	opoczyñski	¯arnów	10	Urz¹d Gminy	26-330	ul. Opoczyñska 5	Urz¹d Gminy	w ¯arnowie	1567	UM¯arnowie	Urz¹d Gminy w ¯arnowie		Urz¹d Gminy w ¯arnowie		
69	1571	Bia³aczów	³ódzkie	opoczyñski	Bia³aczów	10	Urz¹d Gminy	26-307	ul. Piotrkowska 12	Urz¹d Gminy	Bia³aczewo	1567	UMBia³aczewo	Urz¹d Gminy Bia³aczewo		Urz¹d Gminy Bia³aczewo		
1406	1572	Mniszków	³ódzkie	opoczyñski	Mniszków	10	Urz¹d Gminy	26-341	ul. Powstañców Wielkopolskich 10	Urz¹d Gminy	Mniszków	1567	UMMniszków	Urz¹d Gminy Mniszków		Urz¹d Gminy Mniszków		
1596	1573	Opoczno	³ódzkie	opoczyñski	Opoczno	9	Urz¹d Miasta i Gminy	26-300	ul. Staromiejska 6	Urz¹d Miejski	w Opocznie	1567	UMOpocznie	Urz¹d Miejski w Opocznie		Urz¹d Miejski w Opocznie		
454	1574	Drzewica	³ódzkie	opoczyñski	Drzewica	9	Urz¹d Miasta i Gminy	26-340	ul. Staszica 22	Urz¹d Gminy i Miasta	w Drzewicy	1567	UMDrzewicy	Urz¹d Gminy i Miasta w Drzewicy		Urz¹d Gminy i Miasta w Drzewicy		
2127	1575	S³awno	³ódzkie	opoczyñski	S³awno	10	Urz¹d Gminy	26-332	ul. Pi³sudskiego 31	Urz¹d Gminy	S³awno	1567	UMS³awno	Urz¹d Gminy S³awno		Urz¹d Gminy S³awno		
1481	1576	Niemodlin	opolskie	opolski	Niemodlin	9	Urz¹d Miasta i Gminy	49-100	ul. Bohaterów Powstañ Œl¹skich 37	Urz¹d Miejski	w Niemodlinie	1593	UMNiemodlinie	Urz¹d Miejski w Niemodlinie		Urz¹d Miejski w Niemodlinie		
1439	1577	Murów	opolskie	opolski	Murów	10	Urz¹d Gminy	46-030	ul. Dworcowa 2	Urz¹d Gminy	w Murowie	1593	UMMurowie	Urz¹d Gminy w Murowie		Urz¹d Gminy w Murowie		
295	1578	Chrz¹stowice	opolskie	opolski	Chrz¹stowice	10	Urz¹d Gminy	46-053	ul. Dworcowa 38	Urz¹d Gminy	Chrz¹stowice	1593	UMChrz¹stowice	Urz¹d Gminy Chrz¹stowice		Urz¹d Gminy Chrz¹stowice		
2411	1579	Tarnów Opolski	opolskie	opolski	Tarnów Opolski	10	Urz¹d Gminy	46-050	ul. Dworcowa 6	Urz¹d Gminy	Tarnów Opolski	1593	UMTarnów Opolski	Urz¹d Gminy Tarnów Opolski		Urz¹d Gminy Tarnów Opolski		
1658	1580	Ozimek	opolskie	opolski	Ozimek	9	Urz¹d Miasta i Gminy	46-040	ul. ks. Jana Dzier¿ona 4b	Urz¹d Gminy i Miasta	w Ozimku	1593	UMOzimku	Urz¹d Gminy i Miasta w Ozimku		Urz¹d Gminy i Miasta w Ozimku		
382	1581	D¹browa	opolskie	opolski	D¹browa	10	Urz¹d Gminy	49-120	ul. Ks. prof. J. Sztonyka 56	Urz¹d Gminy	D¹browa	1593	UMD¹browa	Urz¹d Gminy D¹browa		Urz¹d Gminy D¹browa (Opolska)		
941	1582	Komprachcice	opolskie	opolski	Komprachcice	10	Urz¹d Gminy	46-070	ul. Kolejowa 3	Urz¹d Gminy	w Komprachcicach	1593	UMKomprachcicach	Urz¹d Gminy w Komprachcicach		Urz¹d Gminy w Komprachcicach		
1378	1583	Milanów	lubelskie	parczewski	Milanów	10	Urz¹d Gminy	21-210	ul. Koœcielna 11a	Urz¹d Gminy	Milanów	1699	UMMilanów	Urz¹d Gminy Milanów		Urz¹d Gminy Milanów		
1601	1584	Opole Lubelskie	lubelskie	opolski	Opole Lubelskie	9	Urz¹d Miasta i Gminy	24-300	ul. Lubelska 4	Urz¹d Miejski	w Opolu Lubelskim	1602	UMOpolu Lubelskim	Urz¹d Miejski w Opolu Lubelskim		Urz¹d Miejski w Opolu Lubelskim		
1780	1585	Poniatowa	lubelskie	opolski	Poniatowa	9	Urz¹d Miasta i Gminy	24-320	ul. M³odzie¿owa 2	Urz¹d Miejski	w Poniatowej	1602	UMPoniatowej	Urz¹d Miejski w Poniatowej		Urz¹d Miejski w Poniatowej		
427	1586	Dobrzeñ Wielki	opolskie	opolski	Dobrzeñ Wielki	10	Urz¹d Gminy	46-081	ul. Namys³owska 44	Urz¹d Gminy	w Dobrzeniu Wielkim	1593	UMDobrzeniu Wielkim	Urz¹d Gminy w Dobrzeniu Wielkim		Urz¹d Gminy w Dobrzeniu Wielkim		
1281	1587	£ubniany	opolskie	opolski	£ubniany	10	Urz¹d Gminy	46-024	ul. Opolska 104	Urz¹d Gminy	£ubniany	1593	UM£ubniany	Urz¹d Gminy £ubniany		Urz¹d Gminy £ubniany		
1782	1588	Popielów	opolskie	opolski	Popielów	10	Urz¹d Gminy	46-090	ul. Opolska 13	Urz¹d Gminy	Popielów	1593	UMPopielów	Urz¹d Gminy Popielów		Urz¹d Gminy Popielów		
1810	1589	Prószków	opolskie	opolski	Prószków	8	Urz¹d Miasta	46-060	ul. Opolska 17	Urz¹d Miejski	w Prószkowie	1593	UMPrószkowie	Urz¹d Miejski w Prószkowie		Urz¹d Miejski w Prószkowie		
